Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
700,2.493591821,11.79092738,3.178980794,84.14416293,81.6321865,1
520,2.961745579,6.553146911,1.064346764,77.75226574,79.64577667,1
473,3.707834743,19.51017166,3.727455362,74.12990715,71.77462869,1
716,3.568895727,5.312266428,2.46106708,83.64658857,79.79241081,1
729,3.845165584,10.19112589,2.362998355,77.9212023,71.67176056,1
845,4.877239363,3.638269304,3.525604418,76.30162614,70.49602446,0
824,3.741228333,7.626214049,1.301032069,77.06652006,85.14329731,0
1230,3.429446187,10.83912838,1.830218693,77.40544243,85.91987186,0
538,4.259996635,7.694207979,2.083630083,80.18345308,81.18079834,1
609,3.749857195,10.09296246,2.997150736,77.28064321,75.57779077,1
606,2.272331239,5.489462544,1.913766899,75.17064423,77.72570657,1
382,2.162553685,7.77492339,2.727348376,77.00087426,71.62384988,1
560,2.827450817,11.73054823,1.832205746,77.18277677,70.76525408,1
495,3.378216302,7.376275793,3.090756713,77.26403305,73.80702538,1
1341,4.62633279,6.188480205,1.503297167,76.92653268,78.88448943,0
436,4.254678789,7.43832958,2.342593832,77.81353697,82.39599504,1
885,1.887027852,6.352865126,2.356187698,77.22452173,81.45093441,1
583,3.397936191,6.146661107,1.627376493,76.22426128,70.61435969,1
773,3.348316697,6.890316204,3.393287895,73.98528303,68.24275096,1
591,4.869288101,7.860033003,2.781762808,76.00480045,66.66709751,1
455,4.759290152,13.97116025,2.448630195,80.60016369,75.81192539,1
1053,2.533847042,4.212193982,4.705473891,75.84209778,75.98157237,0
646,2.157195801,8.454512251,3.033518045,75.20562731,86.28989581,1
799,4.634378309,12.31190941,3.168087939,77.57523258,74.08360477,1
635,2.760153323,6.629578742,2.021019903,76.35883025,68.40312615,1
939,3.836724143,2.713572365,1.868092924,76.25914474,83.99973769,0
708,2.947438925,5.088072943,2.924952052,77.46225949,76.9100848,1
773,3.195954786,7.745653511,4.534210375,75.85403748,86.37386013,1
751,4.56511134,4.393172046,2.483414776,76.53348164,90.4327609,1
591,2.761086478,5.205312086,2.167501472,78.62024306,81.32327912,1
961,1.264996627,6.910787425,2.226115809,76.04902198,92.03931827,1
696,5.115436256,11.96971897,1.451358043,75.80494139,82.65265028,1
706,2.817028083,5.381253176,2.248736143,76.42277842,74.89123081,1
901,3.835654258,4.591213851,2.344017358,78.93005264,83.60378363,0
654,4.430796996,5.997907651,3.008774172,77.14450954,67.14573182,1
1674,2.501620349,3.624157065,2.043074697,76.77232668,74.64194049,0
613,3.872402408,5.302400377,2.258727842,81.88824943,80.92081946,1
691,2.381064805,8.001884993,1.47437613,75.09283672,71.61194572,1
694,3.286426914,5.944093433,2.939865305,76.14288195,69.68765833,1
850,2.375657382,7.551966112,2.569235,77.13097075,86.94309762,0
938,3.0738283,7.414277238,4.478904102,76.09992716,73.24920895,0
458,2.659770109,5.224569371,3.099190097,77.08612355,73.93579864,1
878,4.158025164,2.537920871,1.050346611,75.83222046,76.73559684,1
513,2.482436384,5.183278841,3.365111616,75.70401543,78.26979114,1
893,2.817946572,6.62062814,1.567984372,75.80528798,74.36295653,1
748,2.753083469,5.715725479,5.261251561,75.18527534,79.10691274,1
805,2.91303054,17.5689917,1.746637573,74.71799504,75.25512005,1
563,3.216518822,3.501781507,1.55475179,77.18860576,73.28979791,1
